episode,t,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shipping_to_warehouse_0,shipping_to_warehouse_1,timestep_reward,total_reward
0,0,-7.942995271821801,6.009449092851856,5.837580774575969,7.904034595606023,8.009449092851856,7.837580774575969,-34.584437034259906,-34.584437034259906
0,1,-0.03896067621577792,4.009449092851856,4.837580774575969,7.904034595606023,0.0,0.0,-869.5241920252843,-904.1086290595442
0,2,7.8650739193902455,2.009449092851856,2.8375807745759687,7.904034595606023,0.0,0.0,34.87926753531803,-869.2293615242262
0,3,7.8650739193902455,-0.990550907148144,1.8375807745759687,0.0,0.0,0.0,359.20657114235627,-510.0227903818699
0,4,7.759659422144413,5.018898185703712,-0.1624192254240313,7.904034595606023,8.009449092851856,0.0,-82.01935248955093,-592.0421428714209
0,5,7.826113243174468,4.018898185703712,5.675161549151937,7.904034595606023,0.0,7.837580774575969,-146.37402569950743,-738.4161685709283
0,6,7.826113243174468,3.018898185703712,4.675161549151937,0.0,0.0,0.0,134.22121147592458,-604.1949570950037
0,7,7.826113243174468,1.018898185703712,3.6751615491519374,0.0,0.0,0.0,244.22121147592458,-359.9737456190791
0,8,7.720698745928637,7.028347278555568,2.6751615491519374,7.904034595606023,8.009449092851856,0.0,-97.98741781257563,-457.96116343165477
0,9,7.720698745928637,5.028347278555568,1.6751615491519374,0.0,0.0,0.0,240.39424409900883,-217.56691933264594
0,10,7.720698745928637,3.028347278555568,0.6751615491519374,0.0,0.0,0.0,254.39424409900883,36.82732476636289
0,11,7.787152566958692,1.028347278555568,7.512742323727906,7.904034595606023,0.0,7.837580774575969,-126.1429474709918,-89.31562270462891
0,12,7.6817380697128606,7.037796371407424,5.512742323727906,7.904034595606023,8.009449092851856,0.0,-20.972777479007306,-110.28840018363621
0,13,7.6817380697128606,5.037796371407424,4.512742323727906,0.0,0.0,0.0,223.40888443257714,113.12048424894093
0,14,7.6817380697128606,3.037796371407424,2.512742323727906,0.0,0.0,0.0,337.40888443257717,450.5293686815181
0,15,7.6817380697128606,1.037796371407424,1.512742323727906,0.0,0.0,0.0,257.40888443257717,707.9382531140952
0,16,7.576323572467029,8.04724546425928,-0.48725767627209393,7.904034595606023,8.009449092851856,0.0,-84.79974485592308,623.1385082581721
0,17,7.642777393497084,6.04724546425928,6.350323098303875,7.904034595606023,0.0,7.837580774575969,-190.6045881991812,432.53392005899093
0,18,7.642777393497084,4.04724546425928,5.350323098303875,0.0,0.0,0.0,222.42352476614548,654.9574448251365
0,19,7.642777393497084,2.04724546425928,4.350323098303875,0.0,0.0,0.0,236.42352476614548,891.3809695912819
0,20,7.642777393497084,0.04724546425928011,3.3503230983038748,0.0,0.0,0.0,250.42352476614548,1141.8044943574273
0,21,7.537362896251253,7.056694557111136,2.3503230983038748,7.904034595606023,8.009449092851856,0.0,-191.78510452235474,950.0193898350726
0,22,7.537362896251253,6.056694557111136,0.35032309830387476,0.0,0.0,0.0,242.5965573892297,1192.6159472243023
0,23,7.603816717281308,5.056694557111136,6.1879038728798434,7.904034595606023,0.0,7.837580774575969,-135.94063418077093,1056.6753130435313
0,24,7.603816717281308,4.056694557111136,4.1879038728798434,0.0,0.0,0.0,227.43816509971379,1284.1134781432452
0,25,7.603816717281308,2.056694557111136,3.1879038728798434,0.0,0.0,0.0,243.43816509971379,1527.551643242959
0,26,7.603816717281308,1.0566945571111361,1.1879038728798434,0.0,0.0,0.0,257.4381650997138,1784.9898083426729
