Date,Total_Demand
2013-02-01,267100.0
2013-02-03,40000.0
2013-02-04,127000.0
2013-02-05,166700.0
2013-02-06,100700.0
2013-02-07,109300.0
2013-02-08,79100.0
2013-02-12,75800.0
2013-02-13,112000.0
2013-02-14,85400.0
2013-02-15,147400.0
2013-02-18,83200.0
2013-02-19,83100.0
2013-02-20,66100.0
2013-02-21,71800.0
2013-02-22,70700.0
2013-02-25,86600.0
2013-02-26,85000.0
2013-02-27,77000.0
2013-02-28,110200.0
2013-03-01,145200.0
2013-03-04,161000.0
2013-03-05,125500.0
2013-03-06,37000.0
2013-03-07,184100.0
2013-03-08,84800.0
2013-03-11,188100.0
2013-03-12,107400.0
2013-03-13,93000.0
2013-03-14,42200.0
2013-03-15,142200.0
2013-03-18,101000.0
2013-03-19,107100.0
2013-03-21,91600.0
2013-03-22,100300.0
2013-03-25,162200.0
2013-03-26,277700.0
2013-03-27,142600.0
2013-03-28,88400.0
2013-03-29,129900.0
2013-04-01,111000.0
2013-04-02,58300.0
2013-04-03,43500.0
2013-04-04,48000.0
2013-04-05,179400.0
2013-04-08,22500.0
2013-04-09,112200.0
2013-04-10,73200.0
2013-04-11,51100.0
2013-04-12,12100.0
2013-04-15,208100.0
2013-04-16,48600.0
2013-04-17,126500.0
2013-04-18,43500.0
2013-04-19,22000.0
2013-04-22,137600.0
2013-04-23,66000.0
2013-04-24,31500.0
2013-04-25,40000.0
2013-04-26,98000.0
2013-04-30,68800.0
2013-05-01,201800.0
2013-05-02,700.0
2013-05-07,107000.0
2013-05-08,176200.0
2013-05-09,171600.0
2013-05-10,38500.0
2013-05-13,86000.0
2013-05-14,101000.0
2013-05-15,76000.0
2013-05-16,29000.0
2013-05-17,129000.0
2013-05-20,80000.0
2013-05-21,33000.0
2013-05-22,30500.0
2013-05-23,158000.0
2013-05-24,3000.0
2013-05-27,114000.0
2013-05-28,101600.0
2013-05-29,41200.0
2013-05-30,66900.0
2013-05-31,87500.0
2013-06-03,106500.0
2013-06-04,71100.0
2013-06-05,106500.0
2013-06-06,93000.0
2013-06-07,57300.0
2013-06-10,86000.0
2013-06-11,27000.0
2013-06-12,80100.0
2013-06-13,91600.0
2013-06-14,35500.0
2013-06-17,22300.0
2013-06-18,143100.0
2013-06-19,125000.0
2013-06-20,103200.0
2013-06-21,119000.0
2013-06-24,244200.0
2013-06-25,117500.0
2013-06-26,87000.0
2013-06-27,73300.0
2013-06-28,122400.0
2013-07-01,98500.0
2013-07-02,176500.0
2013-07-03,64100.0
2013-07-04,144000.0
2013-07-05,131000.0
2013-07-08,80200.0
2013-07-09,73500.0
2013-07-10,95600.0
2013-07-11,40700.0
2013-07-12,400.0
2013-07-16,71500.0
2013-07-17,78000.0
